bin	CHR	START	END	SRR089377	SRR054598	SRR053605	SRR054594	SRR089397	SRR054614	SRR089402	SRR053676	SRR053633	SRR053617	SRR054608	SRR053608	SRR054602	SRR089401	SRR053668	SRR054606	SRR054613	SRR053631	SRR054575	SRR053679	SRR054604	SRR053611	SRR053607	SRR053602	SRR054610
0	chr1	1	1246396	2116	298	573	157	3146	1495	4071	815	2492	2484	1387	1299	1470	2525	824	854	1583	1106	1847	795	562	1211	636	751	1520
1	chr1	1246395	1833664	1940	264	660	204	1643	1207	3809	736	1608	983	841	623	565	2876	806	651	848	1252	2024	830	584	836	475	673	1185
2	chr1	1833663	2345598	1767	261	870	237	1655	1621	5418	966	1929	1077	1029	779	898	3505	1109	707	1372	1342	2531	1153	874	936	630	818	1366
3	chr1	2345597	2946628	2246	446	854	265	1564	1838	5625	1121	2429	1677	1365	769	973	3188	1279	1227	1172	1578	2909	1373	884	1184	604	973	1701
4	chr1	2946627	3452945	2189	363	883	217	2081	1173	4845	1053	1790	1170	1192	700	854	3206	963	687	1371	1562	3235	1053	854	785	649	784	1212
5	chr1	3452944	4112610	1886	226	752	130	1541	1069	4949	816	1773	1087	834	671	815	3082	711	686	705	1375	2044	1109	671	921	541	927	1056
6	chr1	4112609	4622985	2449	325	915	196	2098	1532	6557	1237	2333	1302	1143	787	1057	4034	1053	709	1394	1824	3001	1338	819	1125	751	877	1317
7	chr1	4622984	5133470	2084	283	834	263	1970	1579	5386	1095	1967	1109	1081	722	942	3774	1122	799	1201	1599	2813	1322	1164	1085	576	812	1259
8	chr1	5133469	5640704	1994	294	937	219	2240	1441	5191	978	2199	1149	1039	988	852	3253	1215	645	993	1643	2499	1274	884	1038	571	892	1601
9	chr1	5640703	6148783	2316	427	1269	268	2132	1846	4105	873	2629	1496	1084	839	971	3571	1041	859	1520	1630	2083	1282	896	1234	724	908	1300
10	chr1	6148782	6661103	1597	189	716	173	1467	1132	4115	751	1774	895	778	643	723	2450	993	630	835	1551	1991	935	688	1089	454	697	1077
11	chr1	6661102	7166066	2174	244	755	176	1608	1361	4591	1050	1968	887	955	712	898	3143	1047	645	1081	1581	2016	1008	844	871	491	822	1433
12	chr1	7166065	7681749	2200	336	881	301	1783	1546	4788	1270	1967	1584	1402	766	1148	4006	960	869	1232	1890	2181	1407	941	1118	706	1025	1720
13	chr1	7681748	8188001	1959	249	790	182	1708	1272	3305	704	1653	832	1016	634	757	2632	1021	608	1204	1196	1775	850	609	918	630	726	999
14	chr1	8188000	8698749	1914	208	767	237	1842	1728	2590	761	1690	971	1022	733	910	2735	836	674	1055	1419	1222	731	675	1045	584	789	1272
15	chr1	8698748	9208394	1734	255	856	237	1674	1342	2023	654	1649	1024	876	634	787	1801	690	749	1136	1438	1230	692	577	979	570	712	1249
16	chr1	9208393	9715415	1785	199	740	138	1940	1128	2699	782	1736	1006	882	686	713	1903	837	548	820	1416	1182	643	582	964	494	662	1003
17	chr1	9715414	10226258	1759	195	629	189	1760	1479	2760	794	1254	880	1137	608	731	2412	961	657	837	1350	1201	724	628	885	576	744	1152
